Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_021.jpg;-8.765748;0;0;0;99.67;85.58908;0.000265956;334.3465;-3.139091E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_070.jpg;-11.023;0;0;0;99.67;85.58908;0.0002688144;332.4984;-3.015904E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_126.jpg;-13.35125;0;0;0;99.67;85.58908;0.00026996;330.9916;-2.804462E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_171.jpg;-15;0;0;0;99.67;85.58908;0.0002728856;328.3369;-2.502097E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_220.jpg;-15;0;0;0;99.66999;85.58908;0.0002735099;326.5369;-2.159106E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_271.jpg;-15;0;0;0;99.66999;85.58908;0.0002739569;323.8369;-1.605606E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_319.jpg;-15;0;0;0;99.66999;85.58908;0.0002744796;322.0369;-1.11276E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_370.jpg;-15;0;0;0;99.66999;85.58908;0.0002756827;319.3369;-6.534275E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_419.jpg;-15;0;0;0;99.66999;85.58908;0.0002758315;317.5369;-3.345234E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_469.jpg;-13.48074;0;0;0;99.66999;85.58908;0.0002744076;314.9763;1.317926E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_519.jpg;-11.22406;0;0;0;99.66999;85.58908;0.0002733456;313.5826;1.514655E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_570.jpg;-8.993161;0;0;0;99.66999;85.58908;0.000271529;311.8275;1.689862E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_619.jpg;-6.730269;0.0511614;0;0;99.67007;85.58897;0.003428899;311.3774;-0.0001237171
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_670.jpg;-4.475845;0.2014563;0;0;99.67042;85.58854;0.01635489;311.269;-0.0007002377
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_725.jpg;-2.132066;0.3577083;0;0.01942828;99.6711;85.58778;0.03834578;311.2203;-0.0007122725
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_774.jpg;0;0.512628;0;0.02972851;99.67304;85.58555;0.09886713;311.275;-0.0009610603
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_823.jpg;0;0.6632082;0;0.06101053;99.67551;85.58274;0.1747747;311.2282;-0.0007657184
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_875.jpg;0;0.8133976;0;0.07355255;99.67982;85.57779;0.2989719;311.0534;1.797618E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_920.jpg;0;0.9629917;0;0.1226982;99.68418;85.57278;0.4238038;310.987;0.0004104761
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_38_970.jpg;0;1;0;0.16683;99.69303;85.56249;0.646284;310.9335;0.000341291
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_021.jpg;0;1;0;0.1898001;99.69997;85.5544;0.803869;310.8711;-9.979461E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_070.jpg;1.476913;1;0;0.2355106;99.71255;85.53992;1.064121;310.8869;-0.001156769
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_120.jpg;3.736283;1;0;0.2793594;99.72203;85.52933;1.23148;310.93;-0.001039603
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_170.jpg;5.994149;1;0;0.3372223;99.73666;85.51379;1.335273;311.0126;-0.003372788
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_220.jpg;8.244032;1;0;0.3600144;99.74563;85.50467;1.228937;311.1941;-0.005354685
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_271.jpg;8.986357;1;0;0.4170234;99.76195;85.48833;1.10179;311.3596;0.002769407
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_320.jpg;6.724099;1;0;0.4560688;99.77454;85.47555;1.063456;311.454;0.004559857
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_370.jpg;4.504123;0.9510205;0;0.5051249;99.79579;85.45339;1.069356;311.7512;-0.002525795
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_419.jpg;2.252539;0.8009149;0;0.5388058;99.81082;85.43749;1.087997;311.8543;-0.001351901
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_469.jpg;0;0.6507049;0;0.5529497;99.83435;85.41182;1.132357;311.9415;-0.001742572
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_520.jpg;0;0.5026705;0;0.579082;99.85064;85.39381;1.166842;311.9702;-0.001001924
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_569.jpg;0;0.3531154;0;0.5969571;99.87479;85.36698;1.172634;312.0251;-0.0008541393
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_619.jpg;0;0.2027275;0;0.6306946;99.89142;85.34841;1.172764;312.0728;-0.001252081
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_39_670.jpg;0;0.05325185;0;0.6177241;99.91573;85.32125;1.131396;312.0308;8.8196E-05
